"V1" "V2"
"1" 0 0
"2" -8.63417316498762 -8.58907630136751
"3" -8.25154220721331 -8.39322593087844
"4" -8.15536699055491 -8.46784330219202
"5" -8.46452862545273 -8.61348389552794
"6" -8.27389955676698 -8.1563645379627
"7" -8.47299168998141 -8.46473848942628
"8" -8.26792488854482 -8.01207660748494
"9" -8.31900759570108 -7.88364927373849
"10" -8.06842433575303 -7.8211312061435
"11" -7.68298993286462 -7.52169168252678
"12" -8.01296225793081 -7.641906968077
"13" -8.41649261573491 -7.71398171070841
"14" -8.30325030146679 -7.76896513384303
"15" -8.55201981470472 -7.91229455630566
"16" -9.07807032524691 -8.05662663238001
"17" -9.69246975020726 -8.93227230001993
"18" -9.20387224378715 -8.5457943573531
"19" -9.38643108614211 -8.66908661608148
"20" -9.56660109179586 -9.02965502826718
"21" -9.41432871431283 -8.87937023995562
"22" -9.25441164275989 -8.92946400315635
"23" -8.90094519274494 -8.70305722300353
"24" -9.23722146839854 -9.08666500974984
"25" -9.4203593472166 -9.15121216911404
"26" -9.23231539128008 -8.52946597438542
"27" -9.33863865822404 -8.60154170643699
"28" -9.47985283278892 -8.82403371333488
"29" -9.48892621230679 -8.81100861094141
"30" -9.48846797867226 -9.03986774358147
"31" -9.92153572611237 -9.13920469208012
"32" -9.80718775890514 -9.09094776938065
"33" -9.82747686355929 -9.29089373477817
"34" -9.83027457018593 -9.36967933129574
"35" -9.94002394450169 -9.24465806306589
"36" -9.9967746514199 -9.5251090287757
"37" -9.51683038474446 -9.05350946838953
"38" -9.60652458285215 -9.18508489905467
"39" -9.30540834224091 -8.96505881685114
"40" -9.520559970019 -9.07357186188512
"41" -9.49849652696934 -9.14508326872211
"42" -8.4294231255146 -8.25487123568676
"43" -8.53202341254178 -8.38280062284174
"44" -8.7038024467679 -8.1577994959534
"45" -8.84900827761241 -8.38221622181741
"46" -8.77360506205376 -8.56806595960052
"47" -8.45451317329719 -8.05232405636434
"48" -8.50410071136581 -8.16731553134674
"49" -8.07811221941496 -7.66598115392995
"50" -7.68991251094621 -7.19060249747865
"51" -7.75341438310206 -7.05390362942951
"52" -8.12090743770871 -7.77942234207207
"53" -8.363997641687 -8.29392430645665
"54" -8.18119848986261 -8.5319655795118
"55" -8.34041324998374 -9.04928245573583
"56" -8.20898822468275 -8.58676273092438
"57" -7.89555362119058 -8.33076058446597
"58" -8.23115360512975 -8.5771368623772
"59" -8.31055739126494 -8.73306617136115
"60" -8.15110119228148 -8.59105130816234
"61" -8.08585684897243 -8.37967357077211
"62" -7.43971806016406 -8.23614698665484
"63" -7.49122363464425 -8.16384026991822
"64" -8.15974428373157 -8.82879066543688
"65" -8.41600861949279 -9.00866318084583
"66" -8.65220725641285 -8.8504812046215
"67" -8.94416673143149 -8.76330552350617
"68" -9.36021770332002 -9.26926852977253
"69" -9.08120040142945 -9.00045423187443
"70" -8.72072204610111 -8.73446342952585
"71" -8.40459033097437 -8.12379314129677
"72" -8.98025083292567 -8.22262106299808
"73" -8.7998897664497 -8.29993702632977
"74" -8.74726355931766 -8.34838086227353
"75" -8.86331127866205 -8.22960873838491
"76" -9.14978297190611 -8.73796996850631
"77" -9.03700999324179 -8.47939187609911
"78" -8.90875274097669 -8.58439946752248
"79" -9.1717783980703 -8.93606216827034
"80" -9.5000573253169 -9.26353876682265
"81" -9.67673041916454 -9.50993328189362
"82" -9.5624069295756 -9.5372792286113
"83" -9.11069213449747 -9.18725389163916
"84" -9.26535609894386 -9.3958988743185
"85" -9.27296361853036 -9.52540779789335
"86" -9.23706502629803 -9.36714463110576
"87" -8.62596830182501 -8.89310930481829
"88" -8.68378085511812 -9.01194111083535
"89" -8.70895628731401 -8.97882238239992
"90" -9.18595694996014 -9.54115145556163
"91" -8.41783496930496 -8.70939916261718
"92" -8.23736975864833 -8.37331752534996
"93" -7.87765978360497 -8.29283685693044
"94" -8.47753235421112 -8.80453562235578
"95" -8.3591781507262 -8.57674244320797
"96" -8.17513284408125 -8.82564227276268
"97" -8.65700370019962 -9.03815085067212
"98" -8.71493637014932 -8.73061549005442
"99" -8.51961233469254 -8.89129522963883
"100" -8.78742405258247 -9.05106529706664
"101" -8.47473706526985 -8.92950208406154
"102" -8.49141217794195 -8.91432580219552
"103" -8.78890086274843 -9.2595289244592
"104" -8.9813187620795 -9.46988220686926
"105" -9.01153820108798 -9.69099763743661
"106" -8.60139525573268 -9.33023724484702
"107" -8.59707759544427 -9.15657561147741
"108" -8.50352061109951 -9.221370118365
"109" -8.81746512239133 -9.26496768087392
"110" -9.25351937684026 -9.72746919471593
"111" -9.36183275614211 -9.63978633945559
"112" -9.35058213517114 -9.56536132917953
"113" -8.81107676157386 -8.79056810432032
"114" -8.5273503231244 -8.43011259555661
"115" -8.43811598514027 -8.71838116377213
"116" -8.89974282878158 -8.86819719902696
"117" -9.13924282530898 -9.07056511783036
"118" -9.19432688359319 -9.45951914548712
"119" -8.85871817280135 -9.42548902066629
"120" -9.21531990918422 -9.78895515725833
"121" -9.2816087320598 -9.23171788370907
"122" -9.34331190652706 -9.29220213381261
"123" -9.26133344663812 -9.2977789699
"124" -9.71746409577184 -9.45464518274543
"125" -9.64065809836504 -9.68456257095655
"126" -9.21810643407245 -9.26030559959291
"127" -9.66149240792279 -9.48404619461738
"128" -9.5291476774781 -9.15662344449861
"129" -9.70606428534129 -9.29131959372403
"130" -9.25314179597504 -8.92934565850907
"131" -9.52177743348615 -9.03064339438007
"132" -9.71674289713481 -9.15855107049454
"133" -9.67686737042013 -9.47424216673074
"134" -9.23341196448291 -8.98763434524428
"135" -8.9436947811629 -9.02117953915393
"136" -8.89100371475208 -8.99704329336359
"137" -9.59475077380459 -9.83360807503057
"138" -9.70517033909288 -9.83919975076898
"139" -9.97890159528463 -9.99865960342574
"140" -9.8868548170236 -9.96606162636479
"141" -10.0692348051194 -10.1865679193128
"142" -10.1848482740102 -10.458090589936
"143" -10.2374470134439 -10.2915245171161
"144" -10.1213647144527 -10.0532874078089
"145" -9.76463423043128 -9.69805223116008
"146" -9.95261619057201 -9.68899810151569
"147" -9.75927600306763 -9.56826812029501
"148" -10.0992481770909 -10.074707246097
"149" -9.77204327850734 -9.73431786957944
"150" -9.79554823444467 -9.66190434520104
"151" -9.25716647319414 -9.27589989704678
"152" -9.22877586365637 -9.2307735697574
"153" -8.72025215599652 -8.76428435148118
"154" -9.04841321335636 -9.09076661155864
"155" -8.89212674424176 -8.72239453275801
"156" -9.09463560376078 -9.10729309202165
"157" -9.04358049838793 -9.13938554940756
"158" -9.63932237641739 -9.63330151172455
"159" -9.62057035894515 -9.4140136562465
"160" -9.2216526763464 -9.38564874787166
"161" -8.51897334510946 -8.89976415733545
"162" -8.85938599034966 -8.96843504998215
"163" -8.88252876931558 -8.99931892578211
"164" -9.05210824745996 -9.23942517135368
"165" -9.10098959914149 -9.1084087060989
"166" -8.5525077300021 -8.40724712252169
"167" -8.46360958409764 -8.41792629430355
"168" -8.44707396089785 -8.45159605997505
"169" -8.40157181107106 -8.27801155885234
"170" -8.2253067908886 -8.14301802690407
"171" -8.67486749201079 -8.58118348798074
"172" -8.88831650405229 -8.5587244658241
"173" -8.83377396856306 -8.68094066573842
"174" -8.92825096841551 -8.9308661563069
"175" -9.25548771690042 -9.10265386147093
"176" -9.3343490019609 -8.74709462046287
"177" -9.5448315256736 -8.93397895896662
"178" -9.61918754036219 -9.17439201508587
"179" -9.68209840251012 -9.38220606640764
"180" -9.30303088341235 -8.99131985205265
"181" -9.89950397088488 -9.44458926794303
"182" -9.6729362061356 -9.23749567535807
"183" -9.65633202446288 -9.25590464084751
"184" -9.27125960889693 -8.87614425368263
"185" -9.14022845306894 -8.92808137357667
"186" -8.8098254682138 -8.87858092855072
"187" -8.10294443451451 -8.12718071094975
"188" -8.54303958571321 -8.31612907660287
"189" -8.14606142339817 -8.26415745605498
"190" -7.91836004126044 -8.26670038767011
"191" -8.18383270272533 -8.46232746450696
"192" -8.42321626636313 -8.7846234820252
"193" -9.09184711862936 -9.29001737407452
"194" -9.56329173405265 -9.59216202008904
"195" -9.63573662909658 -9.74838526791266
"196" -9.71444035702967 -10.0115236237887
"197" -9.91076680046468 -9.7266067220914
"198" -9.37445124688907 -9.36472034049556
"199" -8.7908295144998 -8.55514524294506
"200" -8.69484868124261 -8.52441521854042
"201" -8.88207928903997 -8.76760257249707
"202" -9.0722525493922 -8.88592535822053
"203" -9.42471261293469 -9.43422912608077
"204" -9.51829874985023 -9.71606650630712
"205" -9.42558794663622 -9.63392237483489
"206" -8.79895717691621 -8.97517672671863
"207" -8.77741157073962 -9.02856117551133
"208" -8.94884578931777 -9.1836814647095
"209" -8.9586088994375 -9.16572734425326
"210" -9.36366146845551 -9.36558929652867
"211" -9.05042406439961 -9.25703354607916
"212" -8.85568248752579 -9.22294776360213
"213" -9.00690872478095 -9.38248115113178
"214" -8.59132497248359 -8.98610803588877
"215" -9.24538237145744 -9.38247019842132
"216" -9.58097110208253 -9.64805541230472
"217" -9.18785067673271 -9.3853404413633
"218" -9.67188337720234 -9.67420107860586
"219" -10.1910115463894 -10.3153166788764
"220" -10.3246273134361 -10.6406683500393
"221" -9.9785703834336 -10.0225694081264
"222" -9.99701331918325 -9.9408527096405
"223" -9.50477747565562 -9.53462900161523
"224" -9.15922381739295 -9.45017605617621
"225" -9.22963808184393 -9.47353608986744
"226" -9.28141606802467 -9.72532402151156
"227" -9.41949695729574 -9.59500907459261
"228" -8.63320720690415 -8.92570381981247
"229" -8.53787699221117 -8.72291065908222
"230" -8.19075951466695 -8.37282775842553
"231" -8.09872841339096 -8.38684777508066
"232" -8.2107104423583 -8.57018171287424
"233" -8.47422954089883 -8.53881265877822
"234" -8.2216455526192 -8.153791511733
"235" -8.37263620804657 -8.3261741106696
"236" -8.76415314307496 -8.58063494543136
"237" -8.43145369236541 -8.43771318905387
"238" -8.9431991937925 -9.09400617255329
"239" -8.44935420679158 -8.52488780264179
"240" -9.27265078377098 -9.15465025064731
"241" -9.09328236040569 -8.79421465579633
"242" -9.09633838769843 -8.62830313609942
"243" -9.02843097062905 -8.43531607352807
"244" -9.0098881102732 -8.42867212634661
"245" -8.96447791040579 -8.75715600359843
"246" -8.22490166726805 -8.33458446140447
"247" -8.05342212459297 -8.20971954631919
"248" -8.3092828262056 -8.43120768904965
"249" -8.06428293937742 -7.99319684851826
"250" -8.63759860932566 -8.151088856065
"251" -8.71206855995414 -8.28728046864411
"252" -8.83773354200629 -8.60928780603437
"253" -9.01696961676635 -8.70253709394082
"254" -8.78828784925752 -8.49188396244706
"255" -8.63902023949559 -8.09626588352655
"256" -7.99895994909111 -7.60568938398031
"257" -8.06440670173122 -7.77975015690577
"258" -8.14530901953278 -8.03171237769461
"259" -8.17003521725081 -8.08543425383595
"260" -7.91675652028076 -7.49325032168627
"261" -7.87084878853503 -7.44066541075613
"262" -8.34274261863287 -8.06758816844344
"263" -8.4037208732833 -8.52010240543814
"264" -8.21354914176622 -8.273365843559
"265" -7.94241853882343 -8.25481366397809
"266" -7.33820447155641 -7.31878875919999
"267" -7.35306180030835 -7.07840079489613
